Commit,Description,Runtime,Difference,Improvement
7de0059,Baseline,99.066s,0s,0%
cab56e0,Multi-threaded,25.545s,-70.602s,73.43%
94f84ac,Custom Float Parsing,12.888s,-77.123s,85.68%
2ab3fe9,Absolute Buffer Operations,14.500s,-73.144s,83.46%
3aa9ba7,Relative Buffer Operation,13.156s,-77.239s,85.45%
01ebf9d,Integer Temperatures,14.422s,-83.308s,85.24%
0e4e52e,One Less Subtraction Per Temperature,13.776s,-76.724s,84.78%
e61cb9f,Brancless Temperature Parsing,12.992s,-82.187s,86.35%
30e4b90,Initial Station Map Capacity,13.120s,-71.317s,84.46%
4f88719,Byte Span Hash Keys,11.265s,-78.530s,87.45%
318b362,Initial Map Size - Avoid Resize,9.167s,-81.191s,89.85%
8051fca,Optimise Byte Span Equals,10.284s,-97.445s,90.45%
a01674b,SIMD Semicolon Search,9.555s,-75.414s,88.75%
a0536df,Inline toString and hashCode,9.722s,-89.893s,90.24%
4e760fd,Linear Probe Map,7.684s,-88.517s,92.01%
